T,p,q
1633704515,210.06,1
1633704519,210.12,1
1633704521,210.13,5
1633704525,210.12,1
1633704528,210.1,5
1633704532,210.13,2
1633704538,210.1,3
1633704545,210.2,4
1633704547,210.19,1
1633704550,210.19,4
1633704551,210.2,1
1633704553,210.18,6
1633704565,210.17,2
1633704566,210.13,1
1633704570,210.1,1
1633704588,210.03,2
1633704589,210.03,11
1633704605,210.29,2
1633704617,210.04,1
1633704630,210,1
1633704634,210.02,30
1633704636,210.09,30
1633704637,210.06,1
1633704651,210.24,2
1633704654,210.21,1
1633704655,210.17,1
1633704659,210.21,2
1633704663,210.36,1
1633704664,210.37,1
1633704666,210.35,10
1633704667,210.35,40
1633704676,210.2,5
1633704677,210.26,1
1633704684,210.16,1
1633704691,210.15,6
1633704699,210.19,1
1633704704,210.2,3
1633704705,210.22,2
1633704707,210.23,2
1633704725,210.32,3
1633704740,210.56,5
1633704745,210.59,5
1633704752,210.65,1
1633704756,210.64,3
1633704761,210.63,24
1633704761,210.63,24
1633704776,210.57,12
1633704794,210.57,2
1633704796,210.58,1
1633704798,210.61,10
1633704799,210.6,1
1633704818,210.64,1
1633704840,210.58,1
1633704842,210.54,5
1633704854,210.54,3
1633704857,210.54,5
1633704857,210.54,3
1633704858,210.54,1
1633704864,210.6,2
1633704889,210.63,1
1633704893,210.66,1
1633704920,210.56,2
1633704931,210.51,2
1633704934,210.48,10
1633704936,210.46,1
1633704953,210.47,2
1633704965,210.62,1
1633704970,210.62,3
1633704971,210.62,1
1633704985,210.62,4
1633704987,210.62,6
1633704995,210.62,1
1633705023,210.61,1
1633705026,210.65,1
1633705027,210.65,2
1633705052,210.53,2
1633705060,210.55,1
1633705081,210.48,2
1633705086,210.57,3
1633705086,210.57,1
1633705090,210.63,8
1633705130,210.5,1
1633705130,210.51,3
1633705141,210.39,1
1633705148,210.49,10
1633705161,210.36,1
1633705172,210.42,1
1633705172,210.42,1
1633705173,210.41,34
1633705183,210.33,2
1633705184,210.34,1
1633705188,210.3,1
1633705200,210.32,8
1633705210,210.37,1
1633705212,210.34,11
1633705223,210.29,2
1633705235,210.21,1
1633705241,210.15,1
1633705259,210.14,1
1633705260,210.15,2
1633705263,210.14,2
1633705264,210.14,1
1633705264,210.14,9
1633705272,210.08,1
1633705275,210.13,3
1633705285,210.11,3
1633705293,210.23,20
1633705294,210.22,1
1633705318,210.2,2
1633705324,210.3,3
1633705328,210.37,1
1633705346,210.35,3
1633705348,210.35,1
1633705349,210.37,11
1633705349,210.37,1
1633705355,210.38,1
1633705381,210.49,1
1633705393,210.49,2
1633705395,210.49,1
1633705441,210.37,10
1633705451,210.33,1
1633705508,210.01,4
1633705512,210.08,1
1633705521,210.17,5
1633705524,210.19,2
1633705525,210.2,1
1633705537,210.13,1
1633705548,210.2,1
1633705588,210.15,1
1633705602,210.31,4
1633705614,210.25,1
1633705642,210.19,10
1633705668,210.28,17
1633705674,210.26,4
1633705676,210.26,10
1633705678,210.21,2
1633705694,210.13,10
1633705711,210.27,4
1633705713,210.29,1
1633705718,210.28,1
1633705723,210.28,3
1633705729,210.27,2
1633705740,210.31,2
1633705752,210.34,1
1633705754,210.32,2
1633705762,210.31,1
1633705776,210.37,3
1633705778,210.39,25
1633705788,210.37,1
1633705798,210.44,2
1633705814,210.28,1
1633705815,210.26,2
1633705826,210.33,2
1633705826,210.32,1
1633705844,210.24,1
1633705857,210.22,1
1633705870,210.29,1
1633705900,210.26,3
1633705922,210.32,1
1633705925,210.35,1
1633705929,210.38,1
1633705938,210.46,5
1633705971,210.44,2
1633705976,210.49,4
1633705997,210.53,1
1633706011,210.52,3
1633706026,210.46,1
1633706034,210.52,1
1633706041,210.52,2
1633706044,210.51,1
1633706050,210.48,1
1633706057,210.45,1
1633706057,210.45,1
1633706063,210.42,10
1633706075,210.46,1
1633706082,210.46,1
1633706088,210.45,5
1633706103,210.48,1
1633706115,210.43,1
1633706117,210.43,10
1633706122,210.46,1
1633706140,210.41,1
1633706147,210.43,7
1633706148,210.41,1
1633706155,210.43,1
1633706165,210.48,1
1633706195,210.49,5
1633706199,210.42,1
1633706203,210.41,2
1633706224,210.42,1
1633706228,210.44,1
1633706230,210.44,2
1633706257,210.42,1
1633706280,210.37,2
1633706293,210.43,11
1633706316,210.43,3
1633706317,210.43,13
1633706318,210.43,2
1633706321,210.52,1
1633706323,210.57,10
1633706330,210.55,2
1633706333,210.52,6
1633706337,210.58,10
1633706356,210.55,3
1633706375,210.53,5
1633706400,210.51,1
1633706401,210.51,3
1633706401,210.51,10
1633706417,210.46,2
1633706418,210.46,1
1633706434,210.35,1
1633706442,210.22,5
1633706458,210.1,4
1633706470,210.06,10
1633706480,210.13,10
1633706485,210.18,8
1633706497,210.25,1
1633706502,210.21,1
1633706508,210.25,5
1633706512,210.23,2
1633706556,210.3,2
1633706560,210.23,1
1633706590,210.18,3
1633706592,210.2,1
1633706595,210.15,1
1633706617,210.29,1
1633706619,210.29,3
1633706620,210.26,2
1633706659,210.1,3
1633706670,210.06,3
1633706693,209.98,3
1633706695,210.03,1
1633706718,209.97,2
1633706734,209.89,3
1633706734,209.89,3
1633706740,209.93,3
1633706741,209.93,6
1633706750,209.85,2
1633706754,209.88,1
1633706767,209.97,3
1633706773,210.01,1
1633706782,209.96,11
1633706785,209.95,1
1633706793,209.98,10
1633706798,209.98,1
1633706803,210.01,1
1633706811,210.04,3
1633706822,210.05,2
1633706826,210.04,3
1633706843,210.15,7
1633706853,210.15,1
1633706858,210.14,1
1633706862,210.13,2
1633706867,210.08,1
1633706877,210.1,2
1633706890,210.07,4
1633706891,210.07,1
1633706918,210.18,3
1633706929,210.11,1
1633706929,210.12,1
1633706930,210.12,50
1633706983,209.92,5
1633706988,209.91,2
1633706994,209.91,1
1633706999,209.91,2
1633707006,209.91,1
1633707008,209.91,2
1633707016,209.84,4
1633707017,209.84,1
1633707019,209.82,1
1633707020,209.83,5
1633707021,209.82,1
1633707023,209.81,1
1633707032,209.89,10
1633707033,209.89,1
1633707050,210,2
1633707072,209.92,4
1633707075,209.88,2
1633707075,209.88,2
1633707077,209.88,23
1633707106,209.93,1
1633707110,209.96,1
1633707126,210.1,1
1633707132,210.09,2
1633707142,210.12,1
1633707155,210.13,1
1633707156,210.15,1
1633707156,210.15,3
1633707158,210.15,2
1633707177,210.15,1
1633707197,210.11,3
1633707199,210.11,1
1633707203,210,1
1633707205,210.05,1
1633707209,210,1
1633707219,209.92,1
1633707231,209.93,2
1633707242,209.92,1
1633707244,209.96,3
1633707252,209.87,2
1633707253,209.88,1
1633707255,209.95,1
1633707257,209.89,1
1633707260,209.89,1
1633707268,209.85,3
1633707276,209.84,1
1633707277,209.82,1
1633707282,209.87,1
1633707287,209.9,2
1633707295,209.87,5
1633707317,209.77,3
1633707318,209.77,1
1633707323,209.77,24
1633707325,209.81,3
1633707327,209.76,2
1633707331,209.79,5
1633707332,209.82,1
1633707334,209.84,3
1633707345,209.89,1
1633707347,209.91,4
1633707359,209.79,3
1633707382,209.84,4
1633707385,209.82,2
1633707389,209.86,15
1633707395,209.82,3
1633707396,209.82,1
1633707399,209.82,2
1633707407,209.92,3
1633707409,209.95,9
1633707410,209.96,31
1633707410,209.96,1
1633707412,209.95,3
1633707427,209.89,1
1633707445,209.87,2
1633707462,209.88,1
1633707466,209.91,2
1633707469,209.91,4
1633707473,209.86,4
1633707474,209.86,1
1633707481,209.88,2
1633707496,209.82,2
1633707496,209.82,2
1633707506,209.77,1
1633707509,209.72,9
